Name	Value	Count
Bún Bò Gánh	68	17
Bún Bò Gánh - Hồ Tùng Mậu	8	2
Bún Bò Gánh - Lý Chính Thắng	8	2
Bún Bò Gốc Huế Phú Lộc - Ni Sư Huỳnh Liên	7	2
Bún Bò Hẻm	8	2
Bún bò Hồ Ếch	4	1
Bún bò Hoa Lâm	0	8
Bún Bò Hoa Lâm - Phan Đăng Lưu	4	1
Bún Bò Huế	4	1
Bún Bò Huế - Ngô Thời Nhiệm	3	1
Bún Bò Huế - Sư Vạn Hạnh	56	14
Bún Bò Huế 16	4	1
Bún Bò Huế 212	8	2
Bún Bò Huế 31	40	11
Bún Bò Huế 62	7	2
Bún Bò Huế Ba Nghị	8	2
Bún Bò Huế Cô Nhung - Đặc Biệt Bún Móng Bò	27	6
Bún Bò Huế Cống Quỳnh & Bùi Thị Xuân	7	2
Bún Bò Huế Dì Gái - Hoàng Diệu	32	8
Bún Bò Huế Đinh Bộ Lĩnh	5	1
Bún bò Huế Đông Ba - Nguyễn Du	32	10
Bún Bò Huế Gia Định	17	4
Bún bò Huế Gia Định - Bạch Đằng	5	1
Bún Bò Huế Hạnh	13	4
Bún bò Huế Minh Sơn	30	6
Bún Bò Huế Ngự Bình - Đồng Đen	6	2
Bún Bò Huế Nhung	6	2
Bún Bò Huế Thanh Tâm	14	3
Bún Bò Huế Xưa - Cách Mạng Tháng 8	8	2
Bún Bò Huế Yến Hương Giang	4	1
Bún Bò Mô Tê - Trần Nhật Duật	24	6
Bún bò Nam Giao	33	8
Bún Bò O Thủy	8	2
Bun Bo Sai Gon	55	20
Bún Bò Sông Hương	6	2
Bún Bò Sông Hương - Gò Vấp	20	5
Bún Bò Thành Nội Huế	4	1
Bún Bò Thi	8	2
Bún Bò Tú Loan	5	1
Bún Bò Vị Huế	36	8
Bún bò viên Góc Vườn Chuối	48	12
Bún Cá & Bánh Đa Cá Quỳnh Côi - Tân Mai	4	1
Bún Cá Campuchia - Bún Cá Châu Đốc 63	108	24
Bún cá Châu Đốc	4	2
Bún Cá Châu Đốc - Võ Thị Sáu	8	2
Bún Cá Nha Trang - Lê Hồng Phong	7	2
Bún cá Ninh Hòa	4	1
Bún Cá Ninh Hòa - Đường 3 Tháng 2	8	2
Bún cà ri - chợ Xã Tây	35	7
Bún cà ri gà, vịt - Chợ Xã Tây 	4	1
Bún Cá Rô Đồng - Tân Sơn Nhì	7	2
Bún Cá Thố Trọng Khương	13	4
Bún cá Út Mạnh - Điện Biên Phủ	4	1
Bun Chả 145 Bui Viện	12203	2682
Bún Chả Cá Đà Nẵng - Phan Xích Long	7	2
Bún chả cá Nha Trang - Bà Hạt	4	1
Bún chả cá Phan Xích Long	32	8
Bún chả Cô Hà	5	1
Bún Chả Dì Xuân - Nguyễn Thị Minh Khai	8	2
Bún Chả Hà "Lội"	216	48
Bún Chả Hà Nội	4	1
Bún Chả Hà Nội - Bún chả Hồ Gươm - Võ Văn Tần	14	4
Bún Chả Hà Nội - Hà Thành Quán	12	4
Bún Chả Hà Nội 26 - Lê Thánh Tôn	6	2
Bún chả Hà Nội Nguyễn Văn Thủ	20	5
Bún Chả Hà Nội Xuân Tứ	40	8
Bún Chả Hàng Quạt	5	1
Bún Chả Hồ Gươm	24	6
Bún Chả Hồ Gươm - Trần Phú	8	2
Bún Chả Mẹt	29	9
Bún chả Trư Bát Giới	4	1
Bún Chả Tứ Linh	4	1
Bún Chả Vân Anh - Nguyễn Trọng Tuyển	12	3
Bún Cô Chi	115	25
Bún Cua Thúi - Đặc Sản Gia Lai	4	1
Bún đậu 46   	4	1
Bún Đậu 46 Cao Bá Nhạ	36	10
Bún đậu A Vừng	56	14
Bún Đậu A Vừng - Lương Hữu Khánh	31	9
Bún Đậu Cầu Gỗ	48	12
Bún Đậu Cầu Gỗ - Nguyễn Trãi	68	18
Bún Đậu Cô Khàn	48	12
Bún Đậu Cô Khàn - Món Bắc Bình Dân	138	35
Bún đậu Cô Oanh	32	8
Bún Đậu Hà Nội Phố	45	12
Bún đậu Homemade	104	26
Bún Đậu Homemade - Hồng Hà	21	6
Bún Đậu Homemade - Nguyễn Văn Tráng	94	25
Bún Đậu Mắm Tôm - Cao Bá Nhạ	68	17
Bún đậu mắm tôm - Hà Nội phố	16	4
Bún đậu mắm tôm - Mẹt	8	2
Bún đậu mắm tôm A Chảnh	150	35
Bún Đậu Mắm Tôm A Chảnh - Bạch Mã	40	10
Bún Đậu Mắm Tôm A Chảnh - Bạch Mã 	4	1
Bún Đậu Mắm Tôm A Chảnh - Nguyễn Thượng Hiền	25	6
Bún đậu mắm tôm Chí Phèo	8	2
Bún đậu mắm tôm CHINSOO	4	1
Bún Đậu Mắm Tôm Gấu	45	9
Bún Đậu Mắm Tôm Hà Nội - Thống Nhất	49	11
Bún đậu mắm tôm Lâm Bô	40	10
Bún Đậu Mắm Tôm Nhà Khoai - Võ Thị Sáu	7	2
Bún Đậu Mập	28	7
Bún Đậu Ngõ Nhỏ Phố Nhỏ	80	20
Bún đậu Phố Cổ - Lam Sơn	4	1
Bún Đậu T Quán - Món Ngon Hà Nội	8	2
Bún Gánh - Bún Bò Gốc Huế	32	10
Bún Giò Heo 401	20	4
Bún Giò Heo 401 - Trường Chinh	20	5
Bún Hải Sản - Bùi Xương Trạch	5	1
Bún Hến, Cơm Hến - Hẻm 284 Lê Văn Sỹ	6	2
Bún Mắm 144 - Khánh Hội	20	4
Bún mắm 444	64	16
Bún Mắm 444 - Lê Quang Định	25	7
Bún Mắm 47	4	1
Bún Mắm 61	8	2
Bún Mắm ABC	4	1
Bún Mắm Ba Minh	43	10
Bún Mắm Bạc Liêu - Vĩnh Viễn	6	2
Bún Mắm Cô Ba - Lê Quang Định	18	6
Bún Mắm Cô Ba - Phan Huy Ích	12	3
Bún Mắm Hai Chị Em	6	2
Bún mắm Nam Bộ Nhân Trí	5	1
Bún mắm nêm - An Dương Vương	20	4
Bún Mắm Nêm Cô Nổ - Nguyễn Thị Minh Khai	72	18
Bún mắm nêm dì Bảy	8	2
Bún mắm Phan bội Châu	15	5
Bún mắm Phan Văn Trị	52	13
Bún mắm, Bún Thái - Quán 62 	48	12
Bún Mì Vàng Cá Viên - Hậu Giang	4	1
Bún Miến Vịt - Lê Văn Sỹ	3	2
Bún Mọc 123	4	1
Bún mọc đầu hẻm 185 Nguyễn Biểu	29	6
Bún Mọc Hùng Mập - Âu Cơ	6	2
Bún Mọc Ròm Mập - 459 Võ Văn Tần	12	3
Bún Mộc Thanh Mai	32	8
Bún Mọc Thanh Mai - Chợ Bến Thành	4	1
Bún nem nướng Trường Tiền - Kỳ Đồng	5	1
Bún nước Huyền	40	11
Bún Ốc Riêu Cua Thanh Hải	127	32
Bún ốc sườn - Hai Bà Trưng	56	14
Bún Phương Gia Lai	7	2
Bún Quậy Saigon 	30	6
Bún Riêu - Cao Lỗ	5	1
Bún Riêu - Phan Đình Giót	3	1
Bún Riêu 127 - Đặng Văn Ngữ	6	2
Bún riêu 203 - Hậu Giang	5	1
Bún riêu 7 - Hậu Giang	5	1
Bún Riêu Canh Bún - Đoàn Văn Bơ	3	1
Bún Riêu Canh Bún - Phan Văn Trị	33	7
Bún Riêu Cua - Ngã Tư Phạm Văn Chí	4	1
Bún Riêu Cua Hẻm 404 - Nguyễn Đình Chiểu	4	2
Bún Riêu Gánh Bến Thành	6	2
Bún Riêu Hẻm - Hàn Hải Nguyên	4	1
Bún riêu ốc - Nguyễn Bá Lân	6	2
Bún riêu phố Tây 	4	1
Bún Riêu Sài Gòn - Phan Xích Long	52	13
Bún riêu tôm khô - Nguyễn Kim	4	1
Bún Riêu Yến	16	4
Bún riêu, canh bún Bạch Tuộc - Nguyễn Thị Tần	4	1
Bún Sứa Cô Hạnh	18	4
Bún Sụn Bò - Củ Chi	4	1
Bún Thái - Cao Đạt	15	4
Bún Thái hẻm 418/40 Lê Hồng Phong	8	2
Bún thịt nem nướng Huỳnh Hoa	4	1
Bún thịt nướng 120	4	1
Bun thit nuong Anh Ba	3648	824
Bún thịt nướng Anh Ba	76	19
Bún Thịt Nướng Anh Ba - Trần Quang Khải	7	2
Bún Thịt Nướng Bà Tám	10	3
Bún Thịt Nướng Chả Giò	24	6
Bún Thịt Nướng Chị Thông	4	1
Bún Thịt Nướng Hải Đăng	33	9
Bún Thịt Nướng Hoàng Văn - Chấn Hưng	28	8
Bún thịt nướng Sáu Cận	5	5
Bún Thịt Nướng Tứ Sơn - Sư Vạn Hạnh	66	14
Bun Thit Nuong Vi Sai Gon	2829	581
Bún Tôm Bình Định - Nguyễn Hữu Tiến	18	4
Bún Tươi Việt	10	2
Bún Vịt - Lê Văn Sỹ	7	2
Bún Vịt Cường Chánh 	16	4
Bungo-fresh Choco & Drinks	32	8
Bunny Bé Cưng	0	3
Bunny Cheese Cake	10	3
Burger Cá Hồi Canada - Phan Xích Long	56	14
Burger cá hồi đỏ - Long Salmon Seafood 	4	1
Burger Cá Hồi Đỏ Canada - Phan Xích Long	3	2
Burger Cá Hồi Đỏ Canada 2 - Phan Xích Long	16	4
Burger King - Tân Sơn Nhất	16	4
Burger King - Trường Chinh	5	2
Burger King - Vòng Xoay Lăng Cha Cả	3	1
Burger King Trần Hưng Đạo	8	2
Burger Station	1195	348
Burger Sun	144	72
Burger vỉa hè-Nguyễn Văn Tráng	3	1
Bus station streetfood - Nguyễn Trãi	171	43
BUSAN KOREAN FOOD	64	16
Busan Korean Food - Món Hàn Quốc	160	44
Butterman - Tiệm Bánh Online	147	31
Butterman House	4	1
Butter's Bakery - Lê Văn Sỹ	459	102
Bưu Điện Thành Phố Hồ Chí Minh	1672	418
Buy & Eat	12	4
Buzza Pizza	1174	275
Buzza Pizza - E Mart	165	33
Buzza Pizza - E Mart Gò Vấp	974	228
Buzza Pizza - Emart	39	10
Buzza Pizza - Nguyễn Trung Trực	80	22
BYDO Coffee	9	2
C.ColorS	24	6
C.on Cafe	25	8
C.On Coffee - Ngô Thời Nhiệm	60	15
C.STORE - Q8	0	2
Ca 3 - Quán Ăn Gia Đình & Quán Nhậu	5	2
Cá Biển Nướng	16	4
Cá Biển Phú Lộc	25	6
Cá Cafe - Fish Massage	4	1
Cả Cần	15	3
Cả Cần - Hủ Tiếu & Bánh Bao Mỹ Tho	4	1
Ca Cao Đá - Bò Bía	3	4
Cá hồi Annaseafresh - Phổ Quang	4	1
Cá Hồi Quán	76	19
Cá hồi Tươi	15	3
Cà Kê Quán - Quán Ăn Gia Đình	8	2
Cà Kê Wán - Các Món Ăn Vặt	6	2
Cà Lâm Kem - Hưng Phú	60	12
Cà lem - 16 Cách Mạng Tháng 8	12	3
Cà Ná Quán - Hải Sản Gia Đình, Sân Vườn, Bờ Sông	5	2
Cà phê Chồn & Bạn	69	17
Cà phê Phố - Lê Hồng Phong	2	1
Cà phê vợt Chú Ba	51	12
Cà phê vợt Ông Thanh	36	9
Cà Rem - Cách Mạng Tháng 8	76	19
Cà Rem - Lê Trọng Tấn	15	3
Cà Ri Dê Ấn Độ - Phát Jambo	477	106
Cà ri dê Ấn Độ - Xù Xì Quán	12	3
Cà Ri Dê Ớt Già	35	7
Cá Tầm KLA - Bạch Đằng	848	212
Cà Te Quán - Bò Nhúng Me	17	4
Cá viên Bùi Thị Xuân - Lương Hữu Khánh	68	17
Cá viên cà ri - Nguyễn Lâm	9	2
Cá Viên Cà Ri - Nguyễn Trãi	24	6
Cá viên chiên	28	7
Cá Viên Chiên - Đặng Văn Ngữ	72	18
Cá Viên Chiên - Lương Hữu Khánh	4	1
Cá viên chiên 90 Sương Nguyệt Ánh	13	4
Cá Viên Chiên Alen The Long	32	8
Cá viên chiên Bùi Thị Xuân	44	11
Cá Viên Chiên Sơn Ca - Võ Thị Sáu	182	44
Cá viên chiên Trần Hưng Đạo	28	7
Cá viên chiên Vinh Kí 500 - Hòa Hảo	10	2
Cabin - Coffee And More	810	180
Cacao Đá	14	4
Cacao đá Trần Bình Trọng	33	11
Cacao Đá Tươi - Trần Bình Trọng	84	21
Cafe & Restautant Hochiminh City	9	2
Cafe & Thức Uống Take Away	8	2
Cafe 79 Acoustics	9	2
Cafe Anh	9887	2136
Cafe Bệt - "Hàn Thuyên" Cafe	73	16
Cafe Bồ Công Anh	20	5
Cafe Capuchino Passion	2	1
Café Cardinal - Món Pháp - The Reverie Saigon	8	2
Cafe Cát Đằng - Trần Hưng Đạo	3	1
Cafe DaLat Souvernir - Kỷ Vật Đà Lạt	32	8
Cafe De Bakery - Cộng Hòa	84	21
Cafe Dinh Độc Lập	8	2
Cafe Du Miên	52	13
Cafe Gác Hoa Attic	52	13
Cafe HD Cinema 1	80	20
Cafe Hoàng Thông	5	1
Cafe Hòn Chồng	3	1
Cafe Kịch VM	728	182
Cafe Lâu Đài Đá	56	14
Cafe Lữ Khách	15	3
Cafe Massage Cá	4	1
Cafe MP Audiophile	35	7
Cafe Ngôi Nhà Số 7	130	26
Cafe nguyên chất Emily	30	10
Cafe nhà sách Cá Chép 2	90	18
Cafe RuNam	8790	1918
Cafe RuNam - Mạc Thị Bưởi	44	11
Cafe SUN n' Restaurant	5	1
Cafe Thủy Mộc - Cây Keo	20	5
Cafe Tinh tế	20	5
Cafe Trầm	36	9
Cafe Trâm Baby	16	4
Cafe Tri Giao	16	4
Cafe Trịnh - Xuân Thủy	12	3
Cafe Út Lành	5	1
Cafe Zoom	3344	880
Cafe, Kem Tươi PiPi	14	3
Cafe-Restaurant Ho Chi Minh City	9315	2006
Caffe Bene Lim II - Võ Văn Tần	32	8
Caffe Bene Vietnam - Đồng Khởi	155	40
Caffe Bene Vietnam - Lê Lai	160	41
Caffe Bene VietNam - Mạc Đĩnh Chi	19	7
Caffe Bene Vietnam - SC VivoCity	109	27
Caffe Bene Vietnam - Võ Văn Tần	23	6
Caffeine - Đường D2	14	4
Cải Xoong Ice Cream & Sweet	5	1
Cajun Cua - Lý Tự Trọng	3	1
Cake Craft	24	6
Cake d'Art	0	4
CàKê Wán - Quang Trung	0	7
Cakes & Ale - Công Trường Quốc Tế	96	24
Cakes & Ale Cafe	16	6
Cali Burrito	3818	881
Calicious - Bánh bông lan trứng muối (Order trước 1 ngày)	80	16
California Fitness & Yoga - Lê Lai	944	236
California Fitness & Yoga - Nguyễn Tất Thành	168	48
California Fitness & Yoga - Parkson Flemmington	27	6
California Fitness & Yoga - Parkson Hùng Vương	6	2
Calla Spa - Hoa Mai	390	156
Callary - Nhà hàng Tiệc Cưới	664	166
Cam Cam Fruit	24	6
Camellia Tea & Coffee	182	43
Căn Bếp Rainbow Snow - Sư Vạn Hạnh	952	476
Cần Giờ Resort	75	30
Canalis Coffee & Lounge	8	2
Canh Bún - Hai Bà Trưng	8	2
Canh Bún - Hẻm 100 Bình Thới	7	2
Canh bún Mẹ Tôi	66	16
Cánh Buồm Restaurant	8	2
Cánh Đồng Quán - 15K Phan Văn Trị	207	52
Cánh Đồng Quán - Lẩu Nướng Tại Bàn - Đường 15	8	2
Cánh Đồng Quán - Lẩu Và Các Món Nướng Tại Bàn	2	1
Cánh Đồng Quán - Phạm Văn Đồng	8	2
Cánh Đồng Quán - Phan Văn Trị	8	2
Canteen Huflit - Sư Vạn Hạnh	2036	528
Cao Lầu Nhung	40	10
Cao Nguyên - Bò Beefsteak	3	2
Caphe bệt - nhà thờ Đức Bà	76	19
Cappuccino	2684	780
Capri By Fraser Hotel Residences	880	220
Caramello - Tân Mai	20	4
Caravelle Saigon Hotel 	1016	254
Cardinal Cafe	5	1
Care With Love Spa - An Dương Vương	322	92
Cà-Rem Kem Xôi Dừa	6	2
Cari Cua - Nguyễn Trường Tộ	8	2
Caribe Cafe Pub	4	1
Caribe Coffee & Pub	17	4
Carl's Jr. Hamburger - Mesa Plaza	80	20
Carl's Jr. Hamburger - Phú Mỹ Hưng	23	6
Carl's Jr. Hamburger - Pico Plaza	12	4
Carl's Jr. Hamburger - Vincom	87	19
Carl's Jr. Hamburger - Vincom Center	8	2
Carpaccio	3754	881
Carrot's Mực Rim	20	5
Casa Italia	9760	2537
Casanova Cafe - Tú Xương	8	2
Casanova Cafe - Workplace For Freelancer	25	5
Casbah Beer Club - Bến Bình Đông	6	2
Cashflow Cafe	33	8
Cát Cát	12	4
Cát Đằng Cafe - Sư Vạn Hạnh	7	2
Cát Đằng Cafe & Karaoke - Hai Bà Trưng 	32	8
Cát Đằng Coffee & More	5	2
Cát Khánh - Tiệc & Tiệc Cưới	210	84
Cát Tường - 105 Trần Hưng Đạo	16	4
Cát Tường - Bún Thang & Gà Ta	15	4
Catimor Cafe	25	5
Catina Chicken	59	12
Catina Chicken - Nguyễn Huệ	5	1
Cậu & Tớ - Nước Mía Mỹ Tho & Trà Tắc	8	2
Câu Cá Giải Trí A Lượn	8	2
Câu Lạc Bộ Kỳ Hoà 2 - Sport Club	6	2
Cây Bàng - Cơm Tấm Chả Cua	6	2
Cây Bàng - Hải Sản	3	1
Cây Bàng 2	4	1
Cây Cột Điện Coffee Book	20	4
Cây Đàn Karaoke	24	6
Cây Đèn Thần - Siêu Thị Nướng BBQ	8	2
Cây Sung - Quán Ốc & Hải Sản	7	2
Cây Trâm Gò Vấp	52	13
Caztus Coffee - Nguyễn Thị Minh Khai	114	29
Caztus Coffee - Nguyễn Thượng Hiền	40	10
Caztus Coffee - Võ Thị Sáu	115	30
CeCe's Mangonada -  Nước Trái Cây Mexico	8	2
Cello Art's Coffee	7	2
Cello Coffee	4	2
CELLO Coffee Shop - Tô Vĩnh Diện	88	22
Central Cafe - Nguyễn Huệ	6	2
Central Cafe - Sunwah Nguyễn Huệ	4	1
Central Parc Banh Mi	2806	700
Central Restaurant - Liberty Central Saigon City Point - Pasteur	8	2
CGV Cinemas - AEON Mall	1153	312
CGV Cinemas - Big C Đồng Nai	4	1
CGV Cinemas - Crescent Mall	450	124
CGV Cinemas - IMAX - SC Vivo City	27	9
CGV Cinemas - Liberty Central Saigon City Point	1740	436
CGV Cinemas - Pandora City	653	182
CGV Cinemas - Parkson CT Plaza	909	251
CGV Cinemas - Parkson Hùng Vương	1755	451
CGV Cinemas - Parkson Paragon	360	90
CGV Cinemas - Pearl Plaza	1095	279
CGV Cinemas - Thảo Điền Pearl	4	1
CGV Cinemas - Thủ Đức	4	1
CGV Cinemas - Vincom Gò Vấp	1770	432
CGV Cinemas - Vincom Thủ Đức	672	168
CGV Hùng Vương 	36	9
CGV Thảo Điền Pearl - Quốc Hương	1086	301
Chả Bò Tí Ông - Đặc Sản Đà Nẵng	5	1
Chà bông thịt heo - Bàn Cờ	12	4
Chà bông tỏi	9	3
Chả cá Hà Thành - Nguyễn Văn Huyên	80	16
Chả Cá Hải Ngư	29	7
Chả Cá Lã Vọng	18	6
Chả Cá Lã Vọng - Hồ Xuân Hương	8	2
Chả Cá Quy Nhơn - Nguyễn Hậu	4	1
Chả đùm - Xô Viết Nghệ Tĩnh	5	1
Chả giò cá CÔ NGA	25	5
Chả Giò Cá Hàng Xanh	4	1
Chả giò cá Vũng Tàu - Lê Văn Sỹ	0	3
Chả Giò Tôm Cua - Shop Online	4	1
CHA GO Tea & Caf'e	44	11
Cha Go Tea & Caf'e - Nguyễn Trãi	40	12
Chả lụa ngon, gà rút xương - Bùi Đình Tuý	17	4
Chả Lụi 369	7	2
Chả Lụi Lagi - Nhà Thờ Hầm	20	5
Chả Lụi Lagi - Nhà Thờ Hầm 	5	2
Chả Lụi Nướng LaGi	53	15
Chả Lụi Nướng Lagi - Nguyễn Án	4	1
Chagall Coffee	8	2
Chago Tea & Cafe - Nguyễn Trãi	92	23
Chai & The Mermaid In It	33	11
Cham Charm - Buffet Sang Trọng	56	14
Chấm Đỏ -  Parkson CT Plaza	13	4
Chân gà sả ớt chua cay 	35	7
Chân Gà Sả Tắc - Shop Online	8	2
Chấn Phát	20	5
Changmin Nhi	0	1
Chảnh - Mix Trái Cây	18	4
Chanh Bistro Rooftop - Nhà Hàng Món Âu	7	2
Chanh Bistro Rooftop Saigon	8764	2028
Cháo A BOY	16	9
Cháo Bà Già - Hoàng Diệu	4	1
Cháo Bầu Cánh Đồng Hoang	4	1
Chảo Cafe - Nguyễn Văn Thủ	61	15
CHẢO Cafe - Nguyễn Văn Thủ 	30	6
Chảo Cafe - Pasteur	52	13
Chảo Cafe - Pasteur 	23	6
Chao Chicken - Gà Rán Hàn Quốc	59	19
Chao Ech 1Lee	1080	252
Cháo Ếch A.Vương - Thủ Đức	4	1
Chao Ech Cay Cay	2025	485
Cháo ếch Cay Cay	16	4
Cháo Ếch Cay Cay 1	40	10
Cháo Ếch Cay Cay 2	8	2
Cháo ếch Hoàng Anh	5	1
Cháo Ếch Merci Res	3	1
Cháo Ếch Merci Res - Vũ Huy Tấn	8	3
Cháo ếch Sentosa - Hồng Hà	94	23
Cháo ếch Sentosa - Quang Trung	5	1
Cháo ếch Sentosa Food 	48	12
Cháo Ếch Singapore	8	2
Cháo Ếch Singapore - Cách Mạng Tháng 8	24	6
Cháo Ếch Singapore - Cao Thắng	54	18
Cháo Ếch Singapore - Đường Số 4	272	60
Cháo Ếch Singapore - Hai Bà Trưng	64	16
Cháo ếch Singapore - Nguyễn Kiệm	5	1
Cháo ếch Singapore - Nguyễn Tri Phương	16	4
Cháo Ếch Singapore - Nguyễn Văn Cừ	40	8
Cháo Ếch Singapore - Quang Trung	6	2
Cháo ếch Singapore - Sư Vạn Hạnh	37	9
Cháo Ếch Singapore A.Vương	79	18
Cháo Ếch Singapore Đà Nẵng	5	1
Cháo Ếch Singapore Merci RES - Vũ Huy Tấn	52	13
Cháo Ếch Singapore Merlion	16	4
Cháo Ếch Singapore -Tô Hiến Thành	72	18
Cháo ếch Singarpore - Merci RES	24	6
Cháo Ếch Sư Phụ Singapore - Quang Trung	24	6
Cháo giò heo Bạch Đằng	48	12
Cháo Gỏi Vịt Tam Bình	5	1
Cháo Hàu Phú Hào	4	1
Cháo Huyết Bò Viên & Giò Heo - Tám Hói 	40	11
Cháo lòng - Cầu Chu Văn An	5	1
Cháo Lòng - Lý Thường Kiệt	44	9
Cháo Lòng - Óc Heo Bình Dân - Cô Giang	65	13
Cháo lòng - Võ Thị Sáu	4	1
Cháo Lòng & Cháo Mực - Nguyễn Thị Minh Khai	22	7
Cháo Lòng 170B Võ Thị Sáu	24	6
Cháo lòng 221 	8	2
Cháo lòng Bà Út	4	1
Cháo Lòng Bà Út - Cô Giang	8	2
Cháo Lươn Trí Nhân	8	2
Cháo lươn xứ Nghệ - Nguyễn Duy Trinh	12	3
Cháo Lươn Xứ Nghệ - Trần Não	9	2
Cháo mực - Trần Bình Trọng	24	6
Cháo Mực Phó Đức Chính	7	2
Cháo Mực Thái Sơn	6	2
Cháo Ngọc Bích	3	1
Chảo Restaurant	60	15
Chảo Restaurant - Bánh Mì Chảo	80	20
Chảo Restaurant - Trần Quốc Toản	228	57
Cháo sá sùng - Trịnh Đình Trọng	4	1
Cháo Sườn - Đại Học Mỹ Thuật	9	2
Cháo Sườn chợ Tân Định	64	16
Chao Suon Chu Chen	545	145
Cháo Sườn Chú Chen	110	24
Cháo Sườn Chú Chen - Trà Đài Loan	137	35
Cháo Sườn Ngõ Huyện	3	1
Cháo Sườn Ngon Gò Vấp -  Nguyễn Oanh	36	8
Cháo sườn ông Tạ	24	6
Cháo Sườn Ông Tạ - Phạm Văn Hai	11	4
Cháo Tiều Cô Út - Chợ Bàn Cờ	10	3
Cháo Trắng - Dạ Nam	8	2
Cháo Trắng Hàng Xanh	6	13
Cháo Trắng Ngọc Liên	8	2
Cháo vịt - Lê Thước	5	1
Cháo Vịt Thanh Đa (Gốc Nhà Lá) - Bình Quới	14	4
Cháo Vịt Thanh Đa (Gốc nhà Lá) - Trần Bình Trọng	4	1
Chaos Chicken - Gà Rán Hàn Quốc	120	32
Chất Cafe - Bình Phú	23	6
Chất Coffee	8	2
Chatime - Cao Thắng	5	2
Chatime Hai Bà Trưng - Trà sữa & Cupcake	2	1
Chatime Nguyễn Tri Phương - Trà Sữa & Cupcake	8	2
Châu La Phạm Hồng	0	2
Châu tobokki	25	5
Chay Mandala	77	14
Chè - chợ Nguyễn Tri Phương	40	10
Chè - Nhật Tảo	44	11
Chè & Tàu Hủ Nguyên's	0	5
Chè 163 - Tô Hiến Thành	8	2
Chè 3S - Chè Thốt Nốt & Chè Khúc Bạch	1098	244
Chè 521 - Chè Thái	20	5
Chè 75	7	2
Chè 85	4	1
Chè 91 - Trần Văn Dư	5	1
Chè Ba Màu	0	4
Chè bánh canh ngọt chợ Tân Định	0	9
Chè Bi Bo	8	2
Chè Bun - Nguyễn Văn Cừ	16	4
Chè Bưởi Huế	9	2
Chè Bưởi Vĩnh Long - Trường Sa	9	2
Chè Buu	140	28
Chè Buu - Thái Thị Nhạn	5	1
Chè Campuchia	32	8
Chè Campuchia Cô Huôi 	56	14
Chè Chú Ba - Bình Giã	4	1
Chè Cô Có - Chợ Hồ Thị Kỷ	8	2
Chè Cô Giang	8	2
Chè Đậu Xanh Đánh và Đậu Đen	4	1
Chè Đèn Dầu - Nguyễn Kiệm	8	2
Chè gốc Hoa	39	13
Chè Gốc Hoa - Đề Thám	8	2
Chè Hà Ký	84	21
Chè Hà Ký 	4	1
Chè Hà Ký - Châu Văn Liêm	13	4
Chè Hương Quê - Cửu Long	10	2
Chè Kem Trái Cây Việt	30	13
Chè Khúc Bạch Đỗ Ngọc	139	35
Chè Khúc Bạch Thanh	56	14
Chè Khúc Bạch Thanh - Chân Cầu Hoàng Hoa Thám	23	7
Chè khúc bạch TN&N Homemade	3	1
Chè Nguyên	7	2
Chè Nguyên Hương	4	1
Chè Nhà Đèn - Chè Người Hoa Khu Đèn Năm Ngọn	8	2
Chè Sinh viên	0	5
Chè Sinh Viên - Ngô Gia Tự	8	2
Chè tàu - Âu Cơ	4	1
Chè Tàu Cột Điện	48	12
Chè Thạch & Chè Thái 122 - Bàu Cát	18	9
Chè Thái - Nguyệt Hỷ	8	2
Chè Thái Biển Ngọc	8	2
Chè Thái Cẩm Thu - Phạm Văn Chiêu	36	8
Chè Thái Lan 280	14	4
Chè Thái Thảo Vy - Nguyễn Sỹ Sách	3	1
Chè Thái Ý Phương	78	21
Chè Thanh Tâm	48	12
Chè Thanh Tâm - Bùi Hữu Nghĩa	4	1
Chè Thanh Tâm - Phan Văn Trị	48	12
Chè Thập Cẩm Phục Linh	4	1
Chè Tô - 367 Minh Phụng	9	2
Chè Trái Cây Việt	36	10
Chè Tường Phong	122	29
Chè Tỷ Muội	12	3
Cheesecake Ngon	4554	971
Cheez Lab	16	7
Chef Lập - Gà Nướng Pháp - Hai Bà Trưng	7	2
Chef Mamma’s	24	6
Chef Minh - Dịch Vụ Đãi Tiệc Tại Nhà	614	150
Chén Đắng Cafe - Võ Thị Sáu	9	3
Chép House	173	42
Chép House - Shop Online	8	2
Chewy Junior Bạch Đằng	0	16
Chewy Junior-Tran Quang Dieu	2207	530
Chez Guido	2892	726
CHI HOA VIETNAMESE CUISINE	9831	2244
Chị Hoa Vietnamese Cuisine	80	22
Chị Mười - Bánh Flan	48	12
Chị Ngọc - Bánh Tráng Trộn Sài Gòn	0	2
Chí Xì Gòn	14	3
Chibi Cafe	8	2
Chiến Thắng Billiards	704	176
Chiêu Cafe Sách - Ba Vân	4	1
Chill Sky Bar - Rooftop AB Tower	24	6
Chilled Bar and Grill	8673	2134
Chilli - Lẩu Nướng Tự Chọn	197	50
Chilli Thai - Mạc Thị Bưởi	52	13
Chinh Cafe	16	4
Chính Ký Mì Gia - Trần Huy Liệu	48	12
Chip Chip - Trà Sữa Thạch Phô Mai - Lê Đức Thọ	18	4
Chip Chip - Trà Sữa Thạch Phô Mai - Lê Lợi	12	4
Chipotle	3038	707
Chips Coffee & Mojito - Nguyễn Văn Trỗi	100	25
